id,acct_id,acct_name,acct_number,acct_type,balance,acct_status,open_date,closed_date,margin_enabled,risk_tolerance,created_date
798,00799A000000U5DtWAOV,acct_105,1104005535,individual,708011,open,2020-03-17T00:00:00Z,2154-12-28T00:00:00Z,yes,low,2022-04-25T00:00:00Z
799,00800A000000U5DtWAOV,acct_187,1185928217,joint,871856,open,2020-05-16T00:00:00Z,2214-01-21T00:00:00Z,no,low,2022-07-24T00:00:00Z
800,00801A000000U5DtWAOV,acct_391,1389890922,joint,1279782,open,2020-10-12T00:00:00Z,2361-02-10T00:00:00Z,no,medium,2023-03-04T00:00:00Z
801,00802A000000U5DtWAOV,acct_280,1279308852,joint,1058618,open,2020-07-23T00:00:00Z,2281-05-20T00:00:00Z,no,medium,2022-11-03T00:00:00Z
802,00803A000000U5DtWAOV,acct_4,1002825626,individual,505651,open,2020-01-03T00:00:00Z,2082-01-14T00:00:00Z,yes,low,2022-01-04T00:00:00Z
803,00804A000000U5DtWAOV,acct_688,1687751493,trust,1875503,open,2021-05-17T00:00:00Z,2575-11-14T00:00:00Z,pending,medium,2024-01-24T00:00:00Z
804,00805A000000U5DtWAOV,acct_592,1591572654,trust,1683145,open,2021-03-08T00:00:00Z,2506-07-11T00:00:00Z,pending,medium,2023-10-11T00:00:00Z
805,00806A000000U5DtWAOV,acct_71,1070224732,individual,640449,open,2020-02-21T00:00:00Z,2130-08-20T00:00:00Z,yes,low,2022-03-19T00:00:00Z
806,00807A000000U5DtWAOV,acct_791,1791157905,trust,2082316,open,2021-08-01T00:00:00Z,2650-06-05T00:00:00Z,pending,high,2024-05-16T00:00:00Z
807,00808A000000U5DtWAOV,acct_572,1571084200,trust,1642168,open,2021-02-21T00:00:00Z,2491-10-02T00:00:00Z,pending,medium,2023-09-18T00:00:00Z
808,00809A000000U5DtWAOV,acct_204,1202892208,joint,905784,open,2020-05-28T00:00:00Z,2226-04-15T00:00:00Z,no,low,2022-08-11T00:00:00Z
809,00810A000000U5DtWAOV,acct_53,1052432279,individual,604865,open,2020-02-08T00:00:00Z,2117-10-21T00:00:00Z,yes,low,2022-02-27T00:00:00Z
810,00811A000000U5DtWAOV,acct_650,1649701318,trust,1799403,open,2021-04-19T00:00:00Z,2548-06-08T00:00:00Z,pending,medium,2023-12-13T00:00:00Z
811,00812A000000U5DtWAOV,acct_151,1150592575,individual,801185,open,2020-04-20T00:00:00Z,2188-07-30T00:00:00Z,yes,low,2022-06-15T00:00:00Z
812,00813A000000U5DtWAOV,acct_22,1020983389,individual,541967,open,2020-01-16T00:00:00Z,2095-02-17T00:00:00Z,yes,low,2022-01-24T00:00:00Z
813,00814A000000U5DtWAOV,acct_173,1172365170,joint,844730,open,2020-05-06T00:00:00Z,2204-04-11T00:00:00Z,no,low,2022-07-09T00:00:00Z
814,00815A000000U5DtWAOV,acct_278,1277013194,joint,1054026,open,2020-07-21T00:00:00Z,2279-09-23T00:00:00Z,no,medium,2022-10-31T00:00:00Z
815,00816A000000U5DtWAOV,acct_213,1212071412,joint,924143,open,2020-06-04T00:00:00Z,2232-11-27T00:00:00Z,no,low,2022-08-21T00:00:00Z
816,00817A000000U5DtWAOV,acct_108,1107012081,individual,714024,open,2020-03-19T00:00:00Z,2157-02-26T00:00:00Z,yes,low,2022-04-28T00:00:00Z
817,00818A000000U5DtWAOV,acct_637,1636767697,trust,1773535,open,2021-04-10T00:00:00Z,2539-02-10T00:00:00Z,pending,medium,2023-11-29T00:00:00Z
818,00819A000000U5DtWAOV,acct_207,1206641708,joint,913283,open,2020-05-31T00:00:00Z,2228-12-28T00:00:00Z,no,low,2022-08-15T00:00:00Z
819,00820A000000U5DtWAOV,acct_997,1997064089,custodial,2494128,open,2021-12-29T00:00:00Z,2798-11-19T00:00:00Z,restricted,high,2024-12-28T00:00:00Z
820,00821A000000U5DtWAOV,acct_67,1065910760,individual,631822,open,2020-02-18T00:00:00Z,2127-07-11T00:00:00Z,yes,low,2022-03-14T00:00:00Z
821,00822A000000U5DtWAOV,acct_915,1914701119,custodial,2329402,open,2021-10-30T00:00:00Z,2739-07-02T00:00:00Z,restricted,high,2024-09-29T00:00:00Z
822,00823A000000U5DtWAOV,acct_747,1746864742,trust,1993729,open,2021-06-29T00:00:00Z,2618-06-29T00:00:00Z,pending,medium,2024-03-29T00:00:00Z
823,00824A000000U5DtWAOV,acct_747,1746333555,trust,1992667,open,2021-06-29T00:00:00Z,2618-02-09T00:00:00Z,pending,medium,2024-03-28T00:00:00Z
824,00825A000000U5DtWAOV,acct_316,1315048072,joint,1130096,open,2020-08-18T00:00:00Z,2307-02-25T00:00:00Z,no,medium,2022-12-12T00:00:00Z
825,00826A000000U5DtWAOV,acct_712,1711783110,trust,1923566,open,2021-06-04T00:00:00Z,2593-03-12T00:00:00Z,pending,medium,2024-02-19T00:00:00Z
826,00827A000000U5DtWAOV,acct_217,1215961597,joint,931923,open,2020-06-07T00:00:00Z,2235-09-17T00:00:00Z,no,low,2022-08-25T00:00:00Z
827,00828A000000U5DtWAOV,acct_349,1348216420,joint,1196433,open,2020-09-11T00:00:00Z,2331-01-25T00:00:00Z,no,medium,2023-01-17T00:00:00Z
828,00829A000000U5DtWAOV,acct_791,1790858579,trust,2081717,open,2021-07-31T00:00:00Z,2650-03-18T00:00:00Z,pending,high,2024-05-16T00:00:00Z
829,00830A000000U5DtWAOV,acct_887,1886754270,custodial,2273509,open,2021-10-09T00:00:00Z,2719-05-09T00:00:00Z,restricted,high,2024-08-29T00:00:00Z
830,00831A000000U5DtWAOV,acct_394,1393218839,joint,1286438,open,2020-10-14T00:00:00Z,2363-07-07T00:00:00Z,no,medium,2023-03-08T00:00:00Z
831,00832A000000U5DtWAOV,acct_719,1718566856,trust,1937134,open,2021-06-09T00:00:00Z,2598-02-01T00:00:00Z,pending,medium,2024-02-27T00:00:00Z
832,00833A000000U5DtWAOV,acct_108,1107448854,individual,714898,open,2020-03-19T00:00:00Z,2157-06-21T00:00:00Z,yes,low,2022-04-29T00:00:00Z
833,00834A000000U5DtWAOV,acct_793,1792610006,trust,2085220,open,2021-08-02T00:00:00Z,2651-06-22T00:00:00Z,pending,high,2024-05-18T00:00:00Z
834,00835A000000U5DtWAOV,acct_546,1545309528,trust,1590619,open,2021-02-02T00:00:00Z,2473-03-02T00:00:00Z,pending,medium,2023-08-21T00:00:00Z
835,00836A000000U5DtWAOV,acct_830,1829513626,trust,2159027,open,2021-08-29T00:00:00Z,2678-01-29T00:00:00Z,pending,high,2024-06-27T00:00:00Z
836,00837A000000U5DtWAOV,acct_311,1310040410,joint,1120081,open,2020-08-14T00:00:00Z,2303-07-18T00:00:00Z,no,medium,2022-12-06T00:00:00Z
837,00838A000000U5DtWAOV,acct_900,1900051832,custodial,2300104,open,2021-10-19T00:00:00Z,2728-12-09T00:00:00Z,restricted,high,2024-09-13T00:00:00Z
838,00839A000000U5DtWAOV,acct_931,1931377061,custodial,2362754,open,2021-11-11T00:00:00Z,2751-07-11T00:00:00Z,restricted,high,2024-10-17T00:00:00Z
839,00840A000000U5DtWAOV,acct_210,1209375794,joint,918752,open,2020-06-02T00:00:00Z,2230-12-18T00:00:00Z,no,low,2022-08-18T00:00:00Z
840,00841A000000U5DtWAOV,acct_166,1165143762,individual,830288,open,2020-05-01T00:00:00Z,2199-01-26T00:00:00Z,yes,low,2022-07-01T00:00:00Z
841,00842A000000U5DtWAOV,acct_471,1470587590,joint,1441175,open,2020-12-10T00:00:00Z,2419-04-18T00:00:00Z,no,medium,2023-05-31T00:00:00Z
842,00843A000000U5DtWAOV,acct_347,1346144275,joint,1192289,open,2020-09-10T00:00:00Z,2329-07-28T00:00:00Z,no,medium,2023-01-15T00:00:00Z
843,00844A000000U5DtWAOV,acct_937,1937338923,custodial,2374678,open,2021-11-15T00:00:00Z,2755-10-28T00:00:00Z,restricted,high,2024-10-23T00:00:00Z
844,00845A000000U5DtWAOV,acct_319,1317853357,joint,1135707,open,2020-08-20T00:00:00Z,2309-03-05T00:00:00Z,no,medium,2022-12-15T00:00:00Z
845,00846A000000U5DtWAOV,acct_483,1482173861,joint,1464348,open,2020-12-18T00:00:00Z,2427-08-25T00:00:00Z,no,medium,2023-06-13T00:00:00Z
846,00847A000000U5DtWAOV,acct_537,1536416809,trust,1572834,open,2021-01-27T00:00:00Z,2466-10-03T00:00:00Z,pending,medium,2023-08-11T00:00:00Z
847,00848A000000U5DtWAOV,acct_189,1188676095,joint,877352,open,2020-05-18T00:00:00Z,2216-01-15T00:00:00Z,no,low,2022-07-27T00:00:00Z
848,00849A000000U5DtWAOV,acct_117,1116157266,individual,732315,open,2020-03-26T00:00:00Z,2163-10-02T00:00:00Z,yes,low,2022-05-08T00:00:00Z
849,00850A000000U5DtWAOV,acct_901,1900551586,custodial,2301103,open,2021-10-19T00:00:00Z,2729-04-19T00:00:00Z,restricted,high,2024-09-13T00:00:00Z
850,00851A000000U5DtWAOV,acct_288,1287549705,joint,1075099,open,2020-07-29T00:00:00Z,2287-04-29T00:00:00Z,no,medium,2022-11-12T00:00:00Z
851,00852A000000U5DtWAOV,acct_937,1937119710,custodial,2374239,open,2021-11-15T00:00:00Z,2755-08-31T00:00:00Z,restricted,high,2024-10-23T00:00:00Z
852,00853A000000U5DtWAOV,acct_652,1651629716,trust,1803259,open,2021-04-21T00:00:00Z,2549-10-29T00:00:00Z,pending,medium,2023-12-16T00:00:00Z
853,00854A000000U5DtWAOV,acct_72,1071409878,individual,642820,open,2020-02-22T00:00:00Z,2131-06-28T00:00:00Z,yes,low,2022-03-20T00:00:00Z
854,00855A000000U5DtWAOV,acct_114,1113023388,individual,726047,open,2020-03-24T00:00:00Z,2161-06-28T00:00:00Z,yes,low,2022-05-05T00:00:00Z
855,00856A000000U5DtWAOV,acct_296,1295391654,joint,1090783,open,2020-08-04T00:00:00Z,2292-12-23T00:00:00Z,no,medium,2022-11-20T00:00:00Z
856,00857A000000U5DtWAOV,acct_887,1887149674,custodial,2274299,open,2021-10-10T00:00:00Z,2719-08-21T00:00:00Z,restricted,high,2024-08-29T00:00:00Z
857,00858A000000U5DtWAOV,acct_490,1489390262,joint,1478781,open,2020-12-23T00:00:00Z,2432-11-07T00:00:00Z,no,medium,2023-06-21T00:00:00Z
858,00859A000000U5DtWAOV,acct_670,1669677485,trust,1839355,open,2021-05-04T00:00:00Z,2562-11-02T00:00:00Z,pending,medium,2024-01-04T00:00:00Z
859,00860A000000U5DtWAOV,acct_379,1378161222,joint,1256322,open,2020-10-03T00:00:00Z,2352-08-28T00:00:00Z,no,medium,2023-02-19T00:00:00Z
860,00861A000000U5DtWAOV,acct_726,1725983349,trust,1951967,open,2021-06-14T00:00:00Z,2603-06-09T00:00:00Z,pending,medium,2024-03-06T00:00:00Z
861,00862A000000U5DtWAOV,acct_857,1856592543,custodial,2213185,open,2021-09-17T00:00:00Z,2697-08-08T00:00:00Z,restricted,high,2024-07-27T00:00:00Z
862,00863A000000U5DtWAOV,acct_806,1805588284,trust,2111177,open,2021-08-11T00:00:00Z,2660-10-30T00:00:00Z,pending,high,2024-06-01T00:00:00Z
863,00864A000000U5DtWAOV,acct_168,1167174251,joint,834349,open,2020-05-02T00:00:00Z,2200-07-15T00:00:00Z,no,low,2022-07-03T00:00:00Z
864,00865A000000U5DtWAOV,acct_301,1299860194,joint,1099720,open,2020-08-07T00:00:00Z,2296-03-14T00:00:00Z,no,medium,2022-11-25T00:00:00Z
865,00866A000000U5DtWAOV,acct_831,1830577770,trust,2161156,open,2021-08-29T00:00:00Z,2678-11-06T00:00:00Z,pending,high,2024-06-28T00:00:00Z
866,00867A000000U5DtWAOV,acct_323,1322749062,joint,1145498,open,2020-08-24T00:00:00Z,2312-09-14T00:00:00Z,no,medium,2022-12-20T00:00:00Z
867,00868A000000U5DtWAOV,acct_603,1602862932,trust,1705726,open,2021-03-16T00:00:00Z,2514-08-31T00:00:00Z,pending,medium,2023-10-23T00:00:00Z
868,00869A000000U5DtWAOV,acct_631,1630253248,trust,1760506,open,2021-04-05T00:00:00Z,2534-05-31T00:00:00Z,pending,medium,2023-11-22T00:00:00Z
869,00870A000000U5DtWAOV,acct_231,1230618072,joint,961236,open,2020-06-17T00:00:00Z,2246-04-12T00:00:00Z,no,low,2022-09-11T00:00:00Z
870,00871A000000U5DtWAOV,acct_625,1624888075,trust,1749776,open,2021-04-01T00:00:00Z,2530-07-18T00:00:00Z,pending,medium,2023-11-16T00:00:00Z
871,00872A000000U5DtWAOV,acct_520,1519686360,trust,1539373,open,2021-01-14T00:00:00Z,2454-09-11T00:00:00Z,pending,medium,2023-07-24T00:00:00Z
872,00873A000000U5DtWAOV,acct_573,1572174005,trust,1644348,open,2021-02-22T00:00:00Z,2492-07-15T00:00:00Z,pending,medium,2023-09-20T00:00:00Z
873,00874A000000U5DtWAOV,acct_410,1409883027,joint,1319766,open,2020-10-26T00:00:00Z,2375-07-12T00:00:00Z,no,medium,2023-03-26T00:00:00Z
874,00875A000000U5DtWAOV,acct_393,1392188697,joint,1284377,open,2020-10-13T00:00:00Z,2362-10-09T00:00:00Z,no,medium,2023-03-06T00:00:00Z
875,00876A000000U5DtWAOV,acct_48,1046758493,individual,593517,open,2020-02-04T00:00:00Z,2113-09-18T00:00:00Z,yes,low,2022-02-21T00:00:00Z
876,00877A000000U5DtWAOV,acct_359,1358796809,joint,1217594,open,2020-09-19T00:00:00Z,2338-09-11T00:00:00Z,no,medium,2023-01-29T00:00:00Z
877,00878A000000U5DtWAOV,acct_731,1730617837,trust,1961236,open,2021-06-17T00:00:00Z,2606-10-11T00:00:00Z,pending,medium,2024-03-11T00:00:00Z
878,00879A000000U5DtWAOV,acct_175,1174246563,joint,848493,open,2020-05-07T00:00:00Z,2205-08-20T00:00:00Z,no,low,2022-07-11T00:00:00Z
879,00880A000000U5DtWAOV,acct_415,1414597781,joint,1329196,open,2020-10-30T00:00:00Z,2378-12-05T00:00:00Z,no,medium,2023-03-31T00:00:00Z
880,00881A000000U5DtWAOV,acct_245,1244519122,joint,989038,open,2020-06-27T00:00:00Z,2256-04-19T00:00:00Z,no,low,2022-09-26T00:00:00Z
881,00882A000000U5DtWAOV,acct_88,1086978081,individual,673956,open,2020-03-04T00:00:00Z,2142-09-18T00:00:00Z,yes,low,2022-04-06T00:00:00Z
882,00883A000000U5DtWAOV,acct_436,1435105253,joint,1370211,open,2020-11-14T00:00:00Z,2393-09-17T00:00:00Z,no,medium,2023-04-22T00:00:00Z
883,00884A000000U5DtWAOV,acct_267,1266116142,joint,1032232,open,2020-07-13T00:00:00Z,2271-11-15T00:00:00Z,no,medium,2022-10-19T00:00:00Z
884,00885A000000U5DtWAOV,acct_689,1688507132,trust,1877014,open,2021-05-18T00:00:00Z,2576-05-31T00:00:00Z,pending,medium,2024-01-25T00:00:00Z
885,00886A000000U5DtWAOV,acct_556,1555642684,trust,1611285,open,2021-02-10T00:00:00Z,2480-08-13T00:00:00Z,pending,medium,2023-09-01T00:00:00Z
886,00887A000000U5DtWAOV,acct_197,1196627545,joint,893255,open,2020-05-24T00:00:00Z,2221-10-09T00:00:00Z,no,low,2022-08-04T00:00:00Z
887,00888A000000U5DtWAOV,acct_975,1975059372,custodial,2450119,open,2021-12-13T00:00:00Z,2783-01-07T00:00:00Z,restricted,high,2024-12-04T00:00:00Z
888,00889A000000U5DtWAOV,acct_881,1881197587,custodial,2262395,open,2021-10-05T00:00:00Z,2715-05-07T00:00:00Z,restricted,high,2024-08-23T00:00:00Z
889,00890A000000U5DtWAOV,acct_308,1307094005,joint,1114188,open,2020-08-12T00:00:00Z,2301-06-02T00:00:00Z,no,medium,2022-12-03T00:00:00Z
890,00891A000000U5DtWAOV,acct_953,1952525352,custodial,2405051,open,2021-11-26T00:00:00Z,2766-10-09T00:00:00Z,restricted,high,2024-11-09T00:00:00Z
891,00892A000000U5DtWAOV,acct_393,1392578668,joint,1285157,open,2020-10-14T00:00:00Z,2363-01-19T00:00:00Z,no,medium,2023-03-07T00:00:00Z
892,00893A000000U5DtWAOV,acct_638,1637814436,trust,1775629,open,2021-04-11T00:00:00Z,2539-11-12T00:00:00Z,pending,medium,2023-11-30T00:00:00Z
893,00894A000000U5DtWAOV,acct_134,1133487066,individual,766974,open,2020-04-07T00:00:00Z,2176-03-30T00:00:00Z,yes,low,2022-05-27T00:00:00Z
894,00895A000000U5DtWAOV,acct_717,1716586923,trust,1933174,open,2021-06-07T00:00:00Z,2596-08-28T00:00:00Z,pending,medium,2024-02-25T00:00:00Z
895,00896A000000U5DtWAOV,acct_462,1461174312,joint,1422349,open,2020-12-03T00:00:00Z,2412-07-04T00:00:00Z,no,medium,2023-05-21T00:00:00Z
896,00897A000000U5DtWAOV,acct_943,1943411018,custodial,2386822,open,2021-11-20T00:00:00Z,2760-03-14T00:00:00Z,restricted,high,2024-10-30T00:00:00Z
897,00898A000000U5DtWAOV,acct_462,1461767650,joint,1423535,open,2020-12-03T00:00:00Z,2412-12-07T00:00:00Z,no,medium,2023-05-22T00:00:00Z
898,00899A000000U5DtWAOV,acct_888,1888013826,custodial,2276028,open,2021-10-10T00:00:00Z,2720-04-05T00:00:00Z,restricted,high,2024-08-30T00:00:00Z
899,00900A000000U5DtWAOV,acct_848,1847761808,custodial,2195524,open,2021-09-11T00:00:00Z,2691-03-28T00:00:00Z,restricted,high,2024-07-17T00:00:00Z
900,00901A000000U5DtWAOV,acct_463,1462134609,joint,1424269,open,2020-12-03T00:00:00Z,2413-03-14T00:00:00Z,no,medium,2023-05-22T00:00:00Z
901,00902A000000U5DtWAOV,acct_908,1907962739,custodial,2315925,open,2021-10-25T00:00:00Z,2734-08-23T00:00:00Z,restricted,high,2024-09-21T00:00:00Z
902,00903A000000U5DtWAOV,acct_963,1963404558,custodial,2426809,open,2021-12-04T00:00:00Z,2774-08-13T00:00:00Z,restricted,high,2024-11-21T00:00:00Z
903,00904A000000U5DtWAOV,acct_502,1501244504,trust,1502489,open,2021-01-01T00:00:00Z,2441-05-25T00:00:00Z,pending,medium,2023-07-04T00:00:00Z
904,00905A000000U5DtWAOV,acct_211,1210404381,joint,920809,open,2020-06-03T00:00:00Z,2231-09-15T00:00:00Z,no,low,2022-08-19T00:00:00Z
905,00906A000000U5DtWAOV,acct_502,1501565051,trust,1503130,open,2021-01-01T00:00:00Z,2441-08-18T00:00:00Z,pending,medium,2023-07-04T00:00:00Z
906,00907A000000U5DtWAOV,acct_287,1286498601,joint,1072997,open,2020-07-28T00:00:00Z,2286-07-26T00:00:00Z,no,medium,2022-11-11T00:00:00Z
907,00908A000000U5DtWAOV,acct_579,1578471383,trust,1656943,open,2021-02-26T00:00:00Z,2497-01-28T00:00:00Z,pending,medium,2023-09-26T00:00:00Z
908,00909A000000U5DtWAOV,acct_750,1749427481,trust,1998855,open,2021-07-01T00:00:00Z,2620-05-03T00:00:00Z,pending,medium,2024-04-01T00:00:00Z
909,00910A000000U5DtWAOV,acct_661,1660359565,trust,1820719,open,2021-04-27T00:00:00Z,2556-02-13T00:00:00Z,pending,medium,2023-12-25T00:00:00Z
910,00911A000000U5DtWAOV,acct_669,1668850378,trust,1837701,open,2021-05-03T00:00:00Z,2562-03-29T00:00:00Z,pending,medium,2024-01-03T00:00:00Z
911,00912A000000U5DtWAOV,acct_257,1255903080,joint,1011806,open,2020-07-06T00:00:00Z,2264-07-04T00:00:00Z,no,medium,2022-10-08T00:00:00Z
